-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	-
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	-
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	+
-	-
-	+
-	+
-	+
-	-
